n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
72,3,8,krylov,4,722352,6,0.07872298373634973,2.6666666666666665,0.030714215771916593,4.503922743667983e-16,18
72,3,8,krylov,4,722352,7,0.10733642786098584,3.111111111111111,0.042490777335019936,4.52081831764863e-16,18
72,3,8,krylov,4,722352,8,0.1422022579294568,3.5555555555555554,0.05730367120500995,6.758924897533574e-16,18
72,3,8,krylov,4,722352,9,0.1808907277732735,4.0,0.07435658735720434,6.760944370119678e-16,18
72,3,8,krylov,4,722352,10,0.23031906080900955,4.444444444444445,0.09712561647611026,6.76457092371629e-16,18
72,3,8,krylov,4,722352,11,0.28732633886410824,4.888888888888889,0.12482216483900908,6.772420243817489e-16,18
72,3,8,krylov,4,722352,12,0.34378639123936783,5.333333333333333,0.15385400839976937,6.775082598812494e-16,18
72,3,8,krylov,4,722352,13,0.39697476938106935,5.777777777777778,0.18274440135526157,6.780046568757824e-16,18
72,3,8,krylov,4,722352,14,0.4544171958282495,6.222222222222222,0.2157206438403912,6.780718399015978e-16,18
72,3,8,krylov,4,722352,15,0.525382872142153,6.666666666666667,0.25916482571193683,6.786943873602762e-16,18
72,3,8,krylov,4,722352,16,0.5853774169458517,7.111111111111111,0.29837571506777283,6.788206768144453e-16,18
72,3,8,krylov,4,722352,17,0.6651655666951168,7.555555555555555,0.35430468407216775,6.788833493588019e-16,18
72,3,8,krylov,4,722352,18,0.7446789164415795,8.0,0.41466194993961797,6.813980021672388e-16,18
72,3,8,krylov,5,722353,0,0.0,0.0,0.0,0.0,18
72,3,8,krylov,5,722353,1,0.21577639968614176,0.4444444444444444,0.0903093371784918,0.0,18
72,3,8,krylov,5,722353,2,0.3883182317219037,0.8888888888888888,0.17793710323912584,1.1102230246251565e-16,18
72,3,8,krylov,5,722353,3,0.542107451208343,1.3333333333333333,0.2698601536096896,1.1793734150748882e-16,18
72,3,8,krylov,5,722353,4,0.6586005296863823,1.7777777777777777,0.3495324539045559,2.257116578470209e-16,18
72,3,8,krylov,5,722353,5,0.7219631649015499,2.2222222222222223,0.396926386243955,2.2914826700588983e-16,18
72,3,8,krylov,5,722353,6,0.7876038094836412,2.6666666666666665,0.44929612096450067,2.3343858655941665e-16,18
72,3,8,krylov,5,722353,7,0.886176092081413,3.111111111111111,0.5346883952347181,2.3632271365092594e-16,18
72,3,8,krylov,5,722353,8,0.9812037293790987,3.5555555555555554,0.6253745464924009,5.762924625881545e-16,18
