n,k,nu,strategy,t,runs,mean_potential,sample_standard_error,expectation_upper_bound,mean_over_bound
48,3,2,krylov,10,8,0.2715252284949028,0.035514057079706146,1.6666666666666667,0.16291513709694166
48,3,2,krylov,11,8,0.29416056772905386,0.03491706223188057,1.8333333333333333,0.1604512187613021
48,3,2,krylov,12,8,0.3146081350318509,0.03602090797345517,2.0,0.15730406751592546
48,3,2,reply_null,0,8,0.0,0.0,0.0,0.0
48,3,2,reply_null,1,8,0.04175540147155157,0.009280746206828672,0.16666666666666666,0.25053240882930944
48,3,2,reply_null,2,8,0.08718712213968076,0.010905875700226914,0.3333333333333333,0.2615613664190423
48,3,2,reply_null,3,8,0.10692181636761199,0.010785097479620769,0.5,0.21384363273522397
48,3,2,reply_null,4,8,0.14144244459407013,0.011087336612105465,0.6666666666666666,0.2121636668911052
48,3,2,reply_null,5,8,0.17610504241645217,0.014713255061546431,0.8333333333333334,0.2113260508997426
48,3,2,reply_null,6,8,0.19434266602624584,0.01438540416136855,1.0,0.19434266602624584
48,3,2,reply_null,7,8,0.2575544796300556,0.018167176981778943,1.1666666666666667,0.22076098254004767
48,3,2,reply_null,8,8,0.2849558567917566,0.018705027292631352,1.3333333333333333,0.21371689259381746
48,3,2,reply_null,9,8,0.33581828033128913,0.02085942122079431,1.5,0.22387885355419276
48,3,2,reply_null,10,8,0.3785624776435865,0.021522077670459553,1.6666666666666667,0.2271374865861519
48,3,2,reply_null,11,8,0.416393947238883,0.01945608060574951,1.8333333333333333,0.22712397122120892
48,3,2,reply_null,12,8,0.4680927100035593,0.023539655727680128,2.0,0.23404635500177964
48,3,8,random,0,8,0.0,0.0,0.0,0.0
48,3,8,random,1,8,0.15384414696041593,0.03240654811079858,0.6666666666666666,0.2307662204406239
48,3,8,random,2,8,0.2377598161404421,0.031768408990790045,1.3333333333333333,0.17831986210533157
48,3,8,random,3,8,0.44530534253965154,0.05225143783821421,2.0,0.22265267126982577
48,3,8,random,4,8,0.5956211610058055,0.04934458516235812,2.6666666666666665,0.22335793537717707
48,3,8,random,5,8,0.7220561217748046,0.07008532212012306,3.3333333333333335,0.21661683653244138
48,3,8,random,6,8,0.8577647081328272,0.06903902762723885,4.0,0.2144411770332068
48,3,8,random,7,8,0.9315640664857117,0.0741959817657241,4.666666666666667,0.19962087138979534
48,3,8,random,8,8,1.070643565653033,0.10569867334474196,5.333333333333333,0.20074566855994372
48,3,8,random,9,8,1.182074320529982,0.10340294540414693,6.0,0.197012386754997
48,3,8,random,10,8,1.3036202647541217,0.096277814305478,6.666666666666667,0.19554303971311826
48,3,8,random,11,8,1.3786345631196804,0.09192570496011375,7.333333333333333,0.18799562224359279
48,3,8,random,12,8,1.4843761375562756,0.1044796046962969,8.0,0.18554701719453445
48,3,8,krylov,0,8,0.0,0.0,0.0,0.0
48,3,8,krylov,1,8,0.17005859605370777,0.05658323210722721,0.6666666666666666,0.25508789408056165
48,3,8,krylov,2,8,0.3063770594384848,0.09191247154868332,1.3333333333333333,0.2297827945788636
48,3,8,krylov,3,8,0.4002507764647434,0.1093449134560901,2.0,0.2001253882323717
48,3,8,krylov,4,8,0.4831101877429677,0.11837177276455955,2.6666666666666665,0.1811663204036129
48,3,8,krylov,5,8,0.5677472543103199,0.12387791568859846,3.3333333333333335,0.17032417629309596
48,3,8,krylov,6,8,0.6407509451317495,0.12032433455587899,4.0,0.16018773628293737
48,3,8,krylov,7,8,0.7119473691528602,0.11171818683459049,4.666666666666667,0.15256015053275573
48,3,8,krylov,8,8,0.7893860235192842,0.09959801544248112,5.333333333333333,0.1480098794098658
48,3,8,krylov,9,8,0.8734755440434255,0.08299496149068034,6.0,0.14557925734057092
48,3,8,krylov,10,8,0.9441084718161525,0.06938016887686729,6.666666666666667,0.14161627077242286
48,3,8,krylov,11,8,1.0085522086937275,0.0597494780031765,7.333333333333333,0.13752984664005377
48,3,8,krylov,12,8,1.0597624543133506,0.05421241219168951,8.0,0.13247030678916882
48,3,8,reply_null,0,8,0.0,0.0,0.0,0.0
48,3,8,reply_null,1,8,0.14575758807653727,0.02983108198069443,0.6666666666666666,0.2186363821148059
48,3,8,reply_null,2,8,0.34276206910292306,0.05095275458885969,1.3333333333333333,0.2570715518271923
48,3,8,reply_null,3,8,0.45023104034319855,0.05646008301555558,2.0,0.22511552017159928
48,3,8,reply_null,4,8,0.5942238208198185,0.04718125756517301,2.6666666666666665,0.22283393280743194
48,3,8,reply_null,5,8,0.6919029200157556,0.048439368935078865,3.3333333333333335,0.20757087600472668
48,3,8,reply_null,6,8,0.8119861570944686,0.054315917983047274,4.0,0.20299653927361716
48,3,8,reply_null,7,8,0.959199433649458,0.043298867668234785,4.666666666666667,0.2055427357820267
48,3,8,reply_null,8,8,1.0971553855355942,0.0678080752894269,5.333333333333333,0.20571663478792393
48,3,8,reply_null,9,8,1.2061839053831447,0.06681264154268571,6.0,0.20103065089719077
48,3,8,reply_null,10,8,1.3292490390877907,0.07679915013362258,6.666666666666667,0.19938735586316858
48,3,8,reply_null,11,8,1.4996837438961295,0.09632015195823147,7.333333333333333,0.20450232871310858
48,3,8,reply_null,12,8,1.6037910622539466,0.10531750236139095,8.0,0.20047388278174333
48,3,32,random,0,8,0.0,0.0,0.0,0.0
48,3,32,random,1,8,0.597625028760264,0.03692509671268101,2.6666666666666665,0.224109385785099
48,3,32,random,2,8,1.0400441964852374,0.09085402732369642,5.333333333333333,0.195008286840982
48,3,32,random,3,8,1.4605810618485742,0.13426749477382638,8.0,0.18257263273107177
48,3,32,random,4,8,1.9319756881499974,0.12172893003258291,10.666666666666666,0.18112272076406227
48,3,32,random,5,8,2.269558973028665,0.11153292247084862,13.333333333333334,0.17021692297714988
48,3,32,random,6,8,2.577267721924355,0.14120928045430797,16.0,0.16107923262027218
48,3,32,random,7,8,2.8258992251447888,0.1254779496002485,18.666666666666668,0.1513874584898994
48,3,32,random,8,8,3.0515032502503727,0.1358891347003717,21.333333333333332,0.14303921485548624
48,3,32,random,9,8,3.274663245970973,0.1386241565398402,24.0,0.1364443019154572
48,3,32,random,10,8,3.459408285900914,0.1288893051311567,26.666666666666668,0.12972781072128425
48,3,32,random,11,8,3.5853943409072215,0.11825611075706981,29.333333333333332,0.12222935253092801
48,3,32,random,12,8,3.7931895377544715,0.09853366055021569,32.0,0.11853717305482724
48,3,32,krylov,0,8,0.0,0.0,0.0,0.0
48,3,32,krylov,1,8,0.4907903964555849,0.1266454073015108,2.6666666666666665,0.18404639867084435
48,3,32,krylov,2,8,0.8800954108495598,0.17945783667749213,5.333333333333333,0.16501788953429247
48,3,32,krylov,3,8,1.2075098663762769,0.20175625514362097,8.0,0.1509387332970346
48,3,32,krylov,4,8,1.559189143973633,0.18387270906317546,10.666666666666666,0.1461739822475281
48,3,32,krylov,5,8,1.867487084181866,0.14470512417193687,13.333333333333334,0.14006153131363994
48,3,32,krylov,6,8,2.0853727714699875,0.11539234516655687,16.0,0.13033579821687422
48,3,32,krylov,7,8,2.237311187822941,0.08078576432825132,18.666666666666668,0.11985595649051468
48,3,32,krylov,8,8,2.3301593625089954,0.05095310637759204,21.333333333333332,0.10922622011760916
48,3,32,krylov,9,8,2.395894336582281,0.023597686212633355,24.0,0.09982893069092837
48,3,32,krylov,10,8,2.423421837322839,0.014349407120365866,26.666666666666668,0.09087831889960646
48,3,32,krylov,11,8,2.4379603006186175,0.00844396014443655,29.333333333333332,0.0831122829756347
48,3,32,krylov,12,8,2.446294373482302,0.004860998846939853,32.0,0.07644669917132194
48,3,32,reply_null,0,8,0.0,0.0,0.0,0.0
48,3,32,reply_null,1,8,0.42852788293160116,0.09150917926252647,2.6666666666666665,0.16069795609935045
48,3,32,reply_null,2,8,0.7993198700136381,0.11336529983025344,5.333333333333333,0.14987247562755715
48,3,32,reply_null,3,8,1.131871165320177,0.0736112477335912,8.0,0.14148389566502212
48,3,32,reply_null,4,8,1.6048569254331095,0.09147942334484904,10.666666666666666,0.15045533675935402
48,3,32,reply_null,5,8,1.9356147802661714,0.11248257749655392,13.333333333333334,0.14517110851996284
48,3,32,reply_null,6,8,2.2224060891217947,0.11523322307073308,16.0,0.13890038057011217
48,3,32,reply_null,7,8,2.5452543256326434,0.10645123116784777,18.666666666666668,0.13635291030174876
48,3,32,reply_null,8,8,2.794117325546746,0.12606773478019628,21.333333333333332,0.13097424963500373
48,3,32,reply_null,9,8,3.1885828524400908,0.11942042478934758,24.0,0.13285761885167044
48,3,32,reply_null,10,8,3.417670331544346,0.15050091091416276,26.666666666666668,0.12816263743291298
48,3,32,reply_null,11,8,3.6466824653020993,0.14344029741552455,29.333333333333332,0.12431872040802612
48,3,32,reply_null,12,8,3.787327271566702,0.15278315336746642,32.0,0.11835397723645943
72,1,2,random,0,8,0.0,0.0,0.0,0.0
72,1,2,random,1,8,0.03485435449835464,0.012551221793762729,0.1111111111111111,0.3136891904851918
72,1,2,random,2,8,0.049083456392826144,0.011405415769429885,0.2222222222222222,0.22087555376771767
72,1,2,random,3,8,0.07800744538347545,0.016998631139925908,0.3333333333333333,0.23402233615042636
72,1,2,random,4,8,0.11863602256623842,0.01382331474225594,0.4444444444444444,0.26693105077403645
72,1,2,random,5,8,0.14534910591611205,0.01946762327092214,0.5555555555555556,0.2616283906490017
72,1,2,random,6,8,0.17722353664514695,0.03353515885678821,0.6666666666666666,0.26583530496772045
72,1,2,random,7,8,0.19721037564792074,0.0330101579868052,0.7777777777777778,0.2535561972616124
72,1,2,random,8,8,0.2194592195358,0.032716044617232376,0.8888888888888888,0.246891621977775
72,1,2,random,9,8,0.22875202031708564,0.03197923584697365,1.0,0.22875202031708564
72,1,2,random,10,8,0.25224696811053093,0.031905982671516384,1.1111111111111112,0.22702227129947783
72,1,2,random,11,8,0.26610279509134205,0.03332976512269113,1.2222222222222223,0.21772046871109801
72,1,2,random,12,8,0.292415930560145,0.03458223728227592,1.3333333333333333,0.21931194792010875
72,1,2,random,13,8,0.31847281825260465,0.037215847631241285,1.4444444444444444,0.22048118186718785
72,1,2,random,14,8,0.33996127340893423,0.035081802943177955,1.5555555555555556,0.21854653290574344
72,1,2,random,15,8,0.3568503375195522,0.032062362966310286,1.6666666666666667,0.2141102025117313
72,1,2,random,16,8,0.37643941866614766,0.02977816442778682,1.7777777777777777,0.21174717299970808
72,1,2,random,17,8,0.39689788923355873,0.025083133460137592,1.8888888888888888,0.21012241194717815
72,1,2,random,18,8,0.4022127066255858,0.024742291213303163,2.0,0.2011063533127929
72,1,2,krylov,0,8,0.0,0.0,0.0,0.0
72,1,2,krylov,1,8,0.012781090905749273,0.005904479445595205,0.1111111111111111,0.11502981815174346
72,1,2,krylov,2,8,0.02848415894575638,0.01388169453895025,0.2222222222222222,0.1281787152559037
72,1,2,krylov,3,8,0.04228219620993223,0.019825603559231974,0.3333333333333333,0.1268465886297967
72,1,2,krylov,4,8,0.05626267675754981,0.0254748799105721,0.4444444444444444,0.12659102270448708
72,1,2,krylov,5,8,0.07025267578314076,0.03145177783065671,0.5555555555555556,0.12645481640965336
72,1,2,krylov,6,8,0.0824977550380975,0.03584880287937036,0.6666666666666666,0.12374663255714625
72,1,2,krylov,7,8,0.09410128048971267,0.0405068864895833,0.7777777777777778,0.12098736062963057
72,1,2,krylov,8,8,0.10500689634476171,0.0447467412335239,0.8888888888888888,0.11813275838785693
72,1,2,krylov,9,8,0.11416773567678656,0.047495174763433505,1.0,0.11416773567678656
72,1,2,krylov,10,8,0.12419121992231405,0.049977839019094895,1.1111111111111112,0.11177209793008264
72,1,2,krylov,11,8,0.13463436849550356,0.052738906520929295,1.2222222222222223,0.110155392405412
72,1,2,krylov,12,8,0.14731401978782657,0.055450865805040044,1.3333333333333333,0.11048551484086994
72,1,2,krylov,13,8,0.15983543539259165,0.05795755338936139,1.4444444444444444,0.11065530142564038
72,1,2,krylov,14,8,0.1727507186847571,0.06060589340266272,1.5555555555555556,0.111054033440201
72,1,2,krylov,15,8,0.1864981869032187,0.06279520070898584,1.6666666666666667,0.11189891214193122
72,1,2,krylov,16,8,0.20230026559611577,0.06489671799671404,1.7777777777777777,0.11379389939781513
72,1,2,krylov,17,8,0.21585640845710008,0.0664973380153528,1.8888888888888888,0.1142769221243471
72,1,2,krylov,18,8,0.23155363778360152,0.06839160091899338,2.0,0.11577681889180076
72,1,2,reply_null,0,8,0.0,0.0,0.0,0.0
72,1,2,reply_null,1,8,0.04114858757444382,0.024669104313391747,0.1111111111111111,0.3703372881699944
72,1,2,reply_null,2,8,0.07971672689246728,0.019743830868012457,0.2222222222222222,0.3587252710161028
72,1,2,reply_null,3,8,0.10360828522566243,0.02317493078254284,0.3333333333333333,0.3108248556769873
72,1,2,reply_null,4,8,0.1278435698627513,0.03207618021562909,0.4444444444444444,0.28764803219119045
72,1,2,reply_null,5,8,0.15534424108922903,0.036123063879837075,0.5555555555555556,0.27961963396061223
72,1,2,reply_null,6,8,0.16465044244153676,0.037807491622965095,0.6666666666666666,0.24697566366230514
72,1,2,reply_null,7,8,0.17889116953565481,0.03772516632526126,0.7777777777777778,0.2300029322601276
72,1,2,reply_null,8,8,0.20708437599295323,0.031212963048666997,0.8888888888888888,0.2329699229920724
72,1,2,reply_null,9,8,0.2117552615408616,0.030846499947300654,1.0,0.2117552615408616
72,1,2,reply_null,10,8,0.2307126616119996,0.03274274064187513,1.1111111111111112,0.20764139545079963
72,1,2,reply_null,11,8,0.24580890894129526,0.02925018316653594,1.2222222222222223,0.20111638004287793
72,1,2,reply_null,12,8,0.2691811963968439,0.023544514073818437,1.3333333333333333,0.20188589729763293
72,1,2,reply_null,13,8,0.2844814744267051,0.022492153066756487,1.4444444444444444,0.196948713064642
72,1,2,reply_null,14,8,0.3151909692867321,0.029520988762856127,1.5555555555555556,0.20262276597004208
72,1,2,reply_null,15,8,0.32429514180481805,0.029808059490536606,1.6666666666666667,0.19457708508289082
72,1,2,reply_null,16,8,0.3279821849474146,0.03045899856997634,1.7777777777777777,0.18448997903292072
72,1,2,reply_null,17,8,0.36342917617417303,0.02707996818297166,1.8888888888888888,0.19240368150397397
72,1,2,reply_null,18,8,0.38911976157982586,0.025834308671819017,2.0,0.19455988078991293
72,1,8,random,0,8,0.0,0.0,0.0,0.0
72,1,8,random,1,8,0.16740773459821495,0.08505703970243353,0.4444444444444444,0.37666740284598366
72,1,8,random,2,8,0.3314828936218646,0.09568615765670682,0.8888888888888888,0.3729182553245977
72,1,8,random,3,8,0.413641999752205,0.09022208530841039,1.3333333333333333,0.31023149981415377
72,1,8,random,4,8,0.45889287497128495,0.09855373811750345,1.7777777777777777,0.2581272421713478
72,1,8,random,5,8,0.5393858485827204,0.08254034963003364,2.2222222222222223,0.24272363186222418
72,1,8,random,6,8,0.629243036091382,0.07319789909224118,2.6666666666666665,0.23596613853426826
72,1,8,random,7,8,0.6506665936807053,0.07454040834102653,3.111111111111111,0.20914283368308387
72,1,8,random,8,8,0.7036757977879797,0.0780235790724196,3.5555555555555554,0.1979088181278693
72,1,8,random,9,8,0.7464957406213405,0.06667965644892071,4.0,0.18662393515533512
72,1,8,random,10,8,0.7798708068795526,0.06977476599927038,4.444444444444445,0.17547093154789933
72,1,8,random,11,8,0.8429639436095293,0.08508936438837877,4.888888888888889,0.17242444301104007
72,1,8,random,12,8,0.9045137963984604,0.0876375201564341,5.333333333333333,0.16959633682471134
72,1,8,random,13,8,0.9534585799214981,0.09508479661864665,5.777777777777778,0.16502167729410544
72,1,8,random,14,8,0.972382561775429,0.09594772129335258,6.222222222222222,0.1562757688567654
72,1,8,random,15,8,0.9977577793914973,0.09768254734221773,6.666666666666667,0.1496636669087246
72,1,8,random,16,8,1.0487583996817427,0.0912574450959865,7.111111111111111,0.14748164995524507
72,1,8,random,17,8,1.1517995419881795,0.08574028037971772,7.555555555555555,0.15244405702784727
72,1,8,random,18,8,1.2140071478524725,0.06887458068281077,8.0,0.15175089348155907
72,1,8,krylov,0,8,0.0,0.0,0.0,0.0
72,1,8,krylov,1,8,0.06432294349257868,0.02353084518493992,0.4444444444444444,0.14472662285830204
72,1,8,krylov,2,8,0.13919284325512826,0.05310977350105325,0.8888888888888888,0.1565919486620193
72,1,8,krylov,3,8,0.2068551891139179,0.0742748384732632,1.3333333333333333,0.15514139183543843
72,1,8,krylov,4,8,0.26953588310958165,0.09484432663515632,1.7777777777777777,0.1516139342491397
72,1,8,krylov,5,8,0.3317843791078179,0.1135680766391672,2.2222222222222223,0.14930297059851805
72,1,8,krylov,6,8,0.38927261714105865,0.12964435800690927,2.6666666666666665,0.145977231427897
72,1,8,krylov,7,8,0.45159552754462173,0.1477671898614647,3.111111111111111,0.14515570528219984
72,1,8,krylov,8,8,0.5080230348639627,0.16246297954945293,3.5555555555555554,0.14288147855548952
72,1,8,krylov,9,8,0.5628441125012105,0.1750035140127106,4.0,0.14071102812530262
72,1,8,krylov,10,8,0.6209021584384846,0.18420623601961372,4.444444444444445,0.13970298564865904
72,1,8,krylov,11,8,0.6855254445609344,0.19215724592611483,4.888888888888889,0.14022111366019113
72,1,8,krylov,12,8,0.7507317835828194,0.19637530146998156,5.333333333333333,0.14076220942177867
72,1,8,krylov,13,8,0.8103288886069995,0.1955566605079775,5.777777777777778,0.1402492307204422
72,1,8,krylov,14,8,0.864817268069159,0.19466370738763628,6.222222222222222,0.13898848951111484
72,1,8,krylov,15,8,0.9254320749278576,0.19167799132665617,6.666666666666667,0.13881481123917863
72,1,8,krylov,16,8,0.9877732316636402,0.18907460508218707,7.111111111111111,0.1389056107026994
72,1,8,krylov,17,8,1.044350597437409,0.18920690398625645,7.555555555555555,0.13822287319024532
72,1,8,krylov,18,8,1.1018971043379249,0.18904560560961692,8.0,0.1377371380422406
72,1,8,reply_null,0,8,0.0,0.0,0.0,0.0
72,1,8,reply_null,1,8,0.11632647247919567,0.05624736258308499,0.4444444444444444,0.26173456307819026
72,1,8,reply_null,2,8,0.20457048482799567,0.06682712081993014,0.8888888888888888,0.23014179543149513
72,1,8,reply_null,3,8,0.2808849344635277,0.07776385734468241,1.3333333333333333,0.21066370084764577
72,1,8,reply_null,4,8,0.31014086497432,0.07376606827518976,1.7777777777777777,0.174454236548055
72,1,8,reply_null,5,8,0.3520493634879324,0.07266038813348083,2.2222222222222223,0.1584222135695696
72,1,8,reply_null,6,8,0.4245284970783165,0.06260700204533291,2.6666666666666665,0.1591981864043687
72,1,8,reply_null,7,8,0.5195174959541569,0.0650780961768403,3.111111111111111,0.16698776655669328
72,1,8,reply_null,8,8,0.5816589784597556,0.07688805663021213,3.5555555555555554,0.16359158769180626
72,1,8,reply_null,9,8,0.7097721286959168,0.0625734627230622,4.0,0.1774430321739792
72,1,8,reply_null,10,8,0.7387201147710312,0.055550725647811924,4.444444444444445,0.16621202582348202
72,1,8,reply_null,11,8,0.7724989599241627,0.049123759789561884,4.888888888888889,0.15801115089357873
72,1,8,reply_null,12,8,0.8472394974306952,0.055200477051412546,5.333333333333333,0.15885740576825536
72,1,8,reply_null,13,8,0.9017447111640187,0.054664514203470585,5.777777777777778,0.15607120000915709
72,1,8,reply_null,14,8,0.941670885013086,0.05284327183433284,6.222222222222222,0.1513399636628174
72,1,8,reply_null,15,8,1.000683859895771,0.056834109102027595,6.666666666666667,0.15010257898436566
72,1,8,reply_null,16,8,1.0194461398570125,0.05709299327283181,7.111111111111111,0.1433596134173924
72,1,8,reply_null,17,8,1.0343780636533026,0.058837530732708095,7.555555555555555,0.13690297901293713
72,1,8,reply_null,18,8,1.053287785148013,0.06165050774920364,8.0,0.13166097314350161
72,1,32,random,0,8,0.0,0.0,0.0,0.0
72,1,32,random,1,8,0.46147941988596025,0.16341580900198235,1.7777777777777777,0.2595821736858527
72,1,32,random,2,8,0.7570477618192641,0.15719259241671182,3.5555555555555554,0.21291968301166805
