case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,8,32,1.3058187380253754,1.0286169769125142,0.4351918300864852,1.3058187380253754,8.58756578419793,0.4351918300864852,1.8020537869364396e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,10,40,1.1363410654681703,1.0084085485890346,0.27610134022947164,1.1363410654681703,8.418852636818203,0.27610134022947164,1.805003081500442e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,12,48,1.0845983877593914,1.0025830323988825,0.21273739888660148,1.0845983877593914,8.370217426013106,0.21273739888660148,1.8089633952678474e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,16,64,1.000005904347507,1.0000058074175806,0.00033872757368946793,1.000005904347507,8.348701070008522,0.00033872757368946793,1.8114426202464216e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,20,80,1.000000001306697,1.0000000035384857,1.1828654855605691e-07,1.000000001306697,8.34865261543831,1.1828654855605691e-07,1.8127145218481853e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,2,16,1.51715765146567,1.1207962359055537,1.2237602991300254,1.7865564765685824,8.680685630899468,1.6969476147936355,1.86343006148119e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,3,24,1.398071068799683,1.059159544396451,0.5839383621723577,1.646323913836025,8.203302922804491,0.8097278622123363,1.910028207866245e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,4,32,1.1790404914020531,1.0175699595834427,0.20951820519786665,1.3884004895707478,7.8811871806957905,0.2905319112077085,1.9198877636974634e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,6,48,1.0000897331047145,1.0001004416797483,0.0027739325241881415,1.1776737823533971,7.745883913083711,0.0038465197668742235,1.9347848450279286e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,8,64,1.0000000005637053,1.000000191177706,6.0472396228348715e-06,1.1775681161741811,7.745107462320683,8.385505610331023e-06,2.0027387040732266e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,12,96,1.0000000000000007,1.0000000000001215,3.689036255958801e-12,1.1775681155103803,7.7451059816300285,5.115463608262871e-12,2.0211143179825322e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,2,16,1.5921454170193343,1.1284054217069985,1.2048228415008018,1.874859678337945,8.739619581365567,1.670687673547779,2.577711229812806e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,3,24,1.5431657930210982,1.0662397044894674,0.6539812401538527,1.8171828348079353,8.258139513091804,0.906853986346676,2.5894290787227795e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,4,32,1.3894893761006688,1.0248393022244509,0.4427493443286929,1.6362183861365578,7.937489009867174,0.613945757469121,2.5990805493475828e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,6,48,1.0117800320551134,1.000705330101275,0.02456659589997734,1.1914399056581713,7.750568838015494,0.03406567964796858,2.630226402288495e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,8,64,1.0000001512305685,1.000001684299896,4.957283592435737e-05,1.1775682935946752,7.745119026710286,6.874099914844223e-05,2.635564343621915e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,12,96,0.9999999999999994,1.0000000000016103,5.538246143739381e-11,1.177568115510379,7.745105981641559,7.67970131931861e-11,2.6427666507895424e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,2,16,1.5266462815818802,1.1251897642564188,1.2287332101145347,1.797729984853303,8.71471397361021,1.703843384692155,2.0429225471203595e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,3,24,1.4100971279939225,1.0562448887377835,0.5636544737256669,1.6604854176984019,8.180728605828158,0.7816008702329249,2.0790229220581853e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,4,32,1.1087390895871014,1.0142131238735346,0.17203701230225746,1.3056158003177771,7.855188132359634,0.23855799039246373,2.0969945492952697e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,6,48,1.0000145925392838,1.0000288331967189,0.00034526415951749,1.1775852992193647,7.7453292977934645,0.00047876630119758623,2.113577345455937e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,8,64,1.0000000000438485,1.0000000321665332,4.841808058653195e-07,1.1775681155620141,7.745106230762296,6.713973841332432e-07,2.140869269994489e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,12,96,1.0000000000000004,1.0000000000000158,3.6701411140973917e-13,1.17756811551038,7.74510598162921,5.089262344881718e-13,2.1560152310086225e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,4,16,1.4898887609015201,1.1090428506387178,0.8289529101483581,1.6978849715876068,7.19585940015626,1.0765611444096728,1.5290204152533629e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,6,24,1.0608165112182322,1.017276458200466,0.2966302152152899,1.2089120069068604,6.6004468268143714,0.385233660500097,1.5357687253728004e-15
