case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,8,64,1.000000151230568,1.000001684299896,4.957283592307634e-05,1.1775682935946747,7.745119026710287,6.874099914666587e-05,2.222771521348474e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,12,96,0.9999999999999998,1.0000000000016103,5.538390259228155e-11,1.1775681155103794,7.745105981641559,7.679901159463043e-11,2.25805076135987e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,2,16,1.5266462815818802,1.1251897642564184,1.2287332101145347,1.797729984853303,8.714713973610209,1.703843384692155,1.687737768974306e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,3,24,1.4100971279939227,1.0562448887377835,0.5636544737256645,1.660485417698402,8.180728605828158,0.7816008702329216,1.7257397613372916e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,4,32,1.1087390895871019,1.0142131238735346,0.17203701230225843,1.3056158003177776,7.855188132359634,0.23855799039246506,1.7389022922085968e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,6,48,1.0000145925392836,1.0000288331967189,0.00034526415951957167,1.1775852992193643,7.7453292977934645,0.0004787663012004728,2.3999359980233146e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,8,64,1.0000000000438491,1.0000000321665337,4.841808037836514e-07,1.177568115562015,7.7451062307623,6.713973812466634e-07,2.6952734176219018e-15
t2_unaligned_spectrum,1931,128,8,14,16,0.3733333333333333,12,96,0.9999999999999998,1.0000000000000158,3.6701411140973917e-13,1.1775681155103794,7.74510598162921,5.089262344881718e-13,2.7034110636768977e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,4,16,1.4898887609015201,1.109042850638718,0.8289529101483581,1.6978849715876068,7.195859400156261,1.0765611444096728,2.2215345373883478e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,6,24,1.0608165112182324,1.017276458200466,0.2966302152152899,1.2089120069068606,6.6004468268143714,0.385233660500097,2.3037641999151113e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,8,32,1.000301963929887,1.0012937884908377,0.04382121821318604,1.139949314456494,6.496745654219114,0.056910616093464705,2.313768415836465e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,10,40,1.0002535224328437,1.000029311162686,0.0009183749829931357,1.1398941102748201,6.48854128135577,0.0011926935904131852,2.3162970335065908e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,12,48,1.0000056319730857,1.0000022301819318,8.145389724090873e-05,1.13961161301914,6.488365570444499,0.00010578417634676818,2.317585435149992e-15
nondivisible_target_rank,2029,96,4,15,16,0.3333333333333333,16,64,1.0000000000000049,1.0000000000878342,2.5634028065857185e-09,1.1396051947933603,6.488351100811008,3.3290912249128723e-09,2.3199336144146017e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,4,16,1.4910273441435509,1.1108429632777477,0.8132251462755749,1.6991825069649298,7.207539162978267,1.056135497468089,1.3208756323426422e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,6,24,1.2289897070028746,1.0224936831100409,0.518266332704076,1.400563054448039,6.6342980137966165,0.6730724862827835,1.376233660582574e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,8,32,1.002741769556595,1.0009916849088352,0.009172022867126444,1.1427297296229766,6.494785500110441,0.011911706097537111,1.4104249920253872e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,10,40,1.000031365132759,1.0000099158267768,0.00017567253664824825,1.1396409386615822,6.488415437606685,0.00022814592334508,1.4131492312129492e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,12,48,1.0000000034658985,1.0000001046721525,1.7206977247704886e-06,1.1396051987431106,6.488351779390784,2.2346701351594334e-06,1.428218652213778e-15
nondivisible_target_rank,2030,96,4,15,16,0.3333333333333333,16,64,0.9999999999999992,1.0000000000053253,1.0768812841104646e-10,1.1396051947933539,6.488351100275661,1.3985457236742604e-10,1.5886308664231648e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,4,16,1.9608497614919118,1.1376521922749676,1.538468156237037,2.2345945744054934,7.381486853438996,1.9980085945050399,1.6164822957051057e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,6,24,1.2409068526082478,1.0279424759769793,0.5701831505503963,1.4141438954870311,6.6696516949898035,0.7404968576197997,1.632282222202803e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,8,32,1.2408300060626098,1.0120294954474731,0.5371781316566134,1.4140563207644201,6.566402690263066,0.6976332395824438,1.6339751095620633e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,10,40,1.001029440284946,1.003444143011308,0.08021967309572056,1.1407783502898088,6.510697909337916,0.1041812894494123,1.6385160246877647e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,12,48,1.000000029419771,1.0000043851302394,3.0944114284286245e-05,1.1396052283202787,6.488379552505722,4.018712122100254e-05,1.6420276374747332e-15
nondivisible_target_rank,2031,96,4,15,16,0.3333333333333333,16,64,0.9999999999999994,1.0000000000460452,7.425652369034195e-10,1.139605194793354,6.488351100539865,9.64369473166471e-10,1.6465457183416265e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,4,12,1.6458982981257901,1.084243163217623,1.1100212408046881,1.726232698262523,7.452939550774675,1.221023364885157,1.434230061326559e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,6,18,1.114235086905645,1.0152316583883356,0.32448713981903365,1.1686196180882784,6.978563883720145,0.35693585380093706,1.4441292844054562e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,8,24,1.0496982035815692,1.0040106196353644,0.14472353720217215,1.1009327638246629,6.901431994527861,0.1591958909223894,1.4498283802389004e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,10,30,1.0050745002716062,1.0006559463174896,0.0310019017892029,1.054131028955054,6.878372427911345,0.034102091968123194,1.5280741507455947e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,12,36,1.0001256155812615,1.0000614112831419,0.0034819641954111154,1.0489405949032466,6.874285675214042,0.003830160614952227,1.5297512386594023e-15
mixed_multiplicities,2129,96,3,12,12,0.20000000000000004,16,48,1.0000003258055883,1.0000002036323257,1.1996771899729968e-05,1.0488091898779355,6.873864942174579,1.3196449089702966e-05,1.5394121437565946e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,4,12,1.5599415090268252,1.0767498485936082,0.9238471880827845,1.6360804572952328,7.401431528568675,1.016231906891063,1.0171674644611415e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,6,18,1.169843417725037,1.0186275440667962,0.2838232084542737,1.2269421274836296,7.001906738479589,0.31220552929970113,1.145832978036591e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,8,24,1.0631803275124996,1.003481714005899,0.1330214468349317,1.1150729346955492,6.89779636940409,0.1463235915184249,1.1653642884902536e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,10,30,1.0053327604642925,1.0005654814235372,0.027669159946518515,1.0544018945302736,6.877750584574937,0.03043607594117037,1.4351926195581626e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,12,36,1.0002355281873037,1.0000490060136544,0.002519533386114083,1.0490558722169891,6.874200403084379,0.0027714867247254915,1.4600953836446834e-15
mixed_multiplicities,2130,96,3,12,12,0.20000000000000004,16,48,1.0000000666255897,1.000000138408279,8.074817400585939e-06,1.0488089180476596,6.873864493833383,8.882299140644534e-06,1.4656154474575869e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,4,12,1.540682815142201,1.0759268388309766,0.8700981604959054,1.6158817687448384,7.395774271766254,0.957107976545496,1.4834047796599368e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,6,18,1.1192326699023516,1.0138993468694049,0.33577734257472325,1.1738611273546888,6.9694057561430025,0.3693550768321956,1.487179348587955e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,8,24,1.0526388495929668,1.0040866736868808,0.13318580286595644,1.104016939380753,6.901954779699833,0.1465043831525521,1.495149219464219e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,10,30,1.0221365880381332,1.0009551533792154,0.054491558469914096,1.0720258975728434,6.88042913642458,0.05994071431690551,1.5069729715514604e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,12,36,1.000632705898392,1.0001494682301189,0.008937470951056306,1.0494724357146745,6.8748909666515265,0.009831218046161938,1.5129040098837821e-15
mixed_multiplicities,2131,96,3,12,12,0.20000000000000004,16,48,1.0000000182187665,1.000000335541808,1.8624953440525936e-05,1.048808867278155,6.873865848902361,2.0487448784578532e-05,1.515406815768261e-15
scalar_block,2229,60,1,6,6,0.20000000000000004,6,6,1.4115224117875618,1.0558862754667857,0.9958467695534499,1.4115224117875618,5.554704492990755,0.9958467695534499,5.027012439661408e-16
scalar_block,2229,60,1,6,6,0.20000000000000004,8,8,1.3301955598989088,1.0277288025860276,0.5264709706751115,1.3301955598989088,5.406576380374774,0.5264709706751115,1.0540880676190802e-15
scalar_block,2229,60,1,6,6,0.20000000000000004,10,10,1.0955601991376036,1.0056382541549531,0.28648922299233703,1.0955601991376036,5.2903645576872655,0.28648922299233703,1.0550499959038376e-15
scalar_block,2229,60,1,6,6,0.20000000000000004,12,12,1.0918355061587364,1.004197173245671,0.22301526286983264,1.0918355061587364,5.282783458484121,0.22301526286983264,1.0600195602604356e-15
scalar_block,2229,60,1,6,6,0.20000000000000004,16,16,1.0003391477352588,1.000077025799202,0.0023764603375182602,1.0003391477352588,5.26110858490688,0.0023764603375182602,1.0649859307483073e-15
scalar_block,2229,60,1,6,6,0.20000000000000004,20,20,1.0000000119873105,1.0000000327653198,1.0242531525150866e-06,1.0000000119873105,5.260703547393684,1.0242531525150866e-06,1.067282752481842e-15
scalar_block,2230,60,1,6,6,0.20000000000000004,6,6,1.3068358817176673,1.0497979307841605,0.7414330802219571,1.3068358817176673,5.522675517570552,0.7414330802219571,6.326985303100071e-16
scalar_block,2230,60,1,6,6,0.20000000000000004,8,8,1.1986996069530844,1.01772207948085,0.42711475137862187,1.1986996069530844,5.3539339783624245,0.42711475137862187,6.895586119218345e-16
scalar_block,2230,60,1,6,6,0.20000000000000004,10,10,1.0965177353814837,1.0052240195772149,0.1891384035295285,1.0965177353814837,5.288185392446106,0.1891384035295285,6.91342189586236e-16
scalar_block,2230,60,1,6,6,0.20000000000000004,12,12,1.0021611530957033,1.0004769864661203,0.014845314887296235,1.0021611530957033,5.263212659337215,0.014845314887296235,6.921658861066528e-16
scalar_block,2230,60,1,6,6,0.20000000000000004,16,16,1.0000046042946875,1.000000355075837,1.3158817986580473e-05,1.0000046042946875,5.260705242973709,1.3158817986580473e-05,6.927504230416051e-16
scalar_block,2230,60,1,6,6,0.20000000000000004,20,20,1.0000000002394387,1.000000000168046,5.880718134676499e-09,1.0000000002394387,5.260703375909095,5.880718134676499e-09,6.936034457887643e-16
scalar_block,2231,60,1,6,6,0.20000000000000004,6,6,1.5951318166972117,1.062474142128444,0.743068489486721,1.5951318166972117,5.5893613053719555,0.743068489486721,4.1504335345761045e-16
