n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
72,1,2,random,0,722244,5,0.25075573560131864,0.5555555555555556,0.1424980835886402,4.523231604525985e-16,18
72,1,2,random,0,722244,6,0.25571122132566626,0.6666666666666666,0.1456898755779127,4.568699100819942e-16,18
72,1,2,random,0,722244,7,0.2861528098684723,0.7777777777777778,0.16564793742858447,4.650533840137086e-16,18
72,1,2,random,0,722244,8,0.32183095058701233,0.8888888888888888,0.1898257634808693,4.673432373467016e-16,18
72,1,2,random,0,722244,9,0.32272949985168736,1.0,0.1904458844763077,7.825757535988171e-16,18
72,1,2,random,0,722244,10,0.3459000603858996,1.1111111111111112,0.20663068398196466,7.886886711361156e-16,18
72,1,2,random,0,722244,11,0.3566150630000542,1.2222222222222223,0.2142429434672496,7.887178479437943e-16,18
72,1,2,random,0,722244,12,0.3701209419746276,1.3333333333333333,0.22395485856738218,4.816953382224623e-16,18
72,1,2,random,0,722244,13,0.3837698943761616,1.4444444444444444,0.2339038260121931,4.96882339923887e-16,18
72,1,2,random,0,722244,14,0.40699835736936857,1.5555555555555556,0.25115081896661784,4.973496903993619e-16,18
72,1,2,random,0,722244,15,0.40722164556731977,1.6666666666666667,0.251318560806064,4.979875197560925e-16,18
72,1,2,random,0,722244,16,0.4193647069887895,1.7777777777777777,0.2604974855718543,7.909791396939252e-16,18
72,1,2,random,0,722244,17,0.43006588894881603,1.8888888888888888,0.26867940758376513,7.94070226804966e-16,18
72,1,2,random,0,722244,18,0.44002777905070317,2.0,0.2763751759214927,7.947748909774046e-16,18
72,1,2,random,1,722245,0,0.0,0.0,0.0,0.0,18
72,1,2,random,1,722245,1,0.09772099752945798,0.1111111111111111,0.05132754934558883,0.0,18
72,1,2,random,1,722245,2,0.10024167939851121,0.2222222222222222,0.05271902369845332,2.237776359351284e-16,18
72,1,2,random,1,722245,3,0.10033279898459004,0.3333333333333333,0.052769389521732296,2.384770031406612e-16,18
72,1,2,random,1,722245,4,0.15967341783895142,0.4444444444444444,0.08656384292483468,4.536255390626534e-16,18
72,1,2,random,1,722245,5,0.17119604255824844,0.5555555555555556,0.09336168725249527,5.600106382355364e-16,18
72,1,2,random,1,722245,6,0.17631907500385588,0.6666666666666666,0.09640929826783322,5.600522342243003e-16,18
72,1,2,random,1,722245,7,0.1884106191970535,0.7777777777777778,0.10366458305677513,5.668942930258849e-16,18
72,1,2,random,1,722245,8,0.18853644350482562,0.8888888888888888,0.10374054351380077,5.672080028695843e-16,18
72,1,2,random,1,722245,9,0.19279128347297442,1.0,0.10631483562554325,5.681819514549215e-16,18
72,1,2,random,1,722245,10,0.24827280023532772,1.1111111111111112,0.14090478122626343,5.682086864233987e-16,18
72,1,2,random,1,722245,11,0.2737297600805497,1.2222222222222223,0.15742971335849815,5.701736766692533e-16,18
72,1,2,random,1,722245,12,0.27536500965801597,1.3333333333333333,0.15850565449586748,5.788152181313501e-16,18
72,1,2,random,1,722245,13,0.287997675704278,1.4444444444444444,0.16687710204029543,5.803264841238416e-16,18
72,1,2,random,1,722245,14,0.3318275578234234,1.5555555555555556,0.1967562637295237,5.812924416230296e-16,18
72,1,2,random,1,722245,15,0.35436777726215946,1.6666666666666667,0.21263963770485383,5.813493321724525e-16,18
72,1,2,random,1,722245,16,0.36531988838882706,1.7777777777777777,0.22048744278255178,5.77041994511078e-16,18
72,1,2,random,1,722245,17,0.3700429619460193,1.8888888888888888,0.22389840674788603,5.772353392783583e-16,18
72,1,2,random,1,722245,18,0.37108610496557376,2.0,0.2246539303088059,5.775083174632398e-16,18
72,1,2,random,2,722246,0,0.0,0.0,0.0,0.0,18
72,1,2,random,2,722246,1,0.001098650707431539,0.1111111111111111,0.0005496272225992726,0.0,18
72,1,2,random,2,722246,2,0.002717146684789409,0.2222222222222222,0.0013604207367562194,1.244478835384145e-16,18
72,1,2,random,2,722246,3,0.0074634095071468955,0.3333333333333333,0.003745665082881401,1.3133733869926285e-16,18
72,1,2,random,2,722246,4,0.10578229883682783,0.4444444444444444,0.05578992896779649,1.5076180556600366e-16,18
72,1,2,random,2,722246,5,0.17768824810641676,0.5555555555555556,0.09722644511722785,4.468775538335132e-16,18
72,1,2,random,2,722246,6,0.3727560149106243,0.6666666666666666,0.22586504806109473,4.469205731158856e-16,18
72,1,2,random,2,722246,7,0.3827710771624007,0.7777777777777778,0.2331711562000487,4.473077335504636e-16,18
72,1,2,random,2,722246,8,0.38305953878516585,0.8888888888888888,0.23338267844808938,4.473446718368748e-16,18
72,1,2,random,2,722246,9,0.38744301871877274,1.0,0.23660450294532115,4.473896982581697e-16,18
72,1,2,random,2,722246,10,0.39090512502388,1.1111111111111112,0.23915912567538897,4.987214527505898e-16,18
72,1,2,random,2,722246,11,0.4006207460372616,1.2222222222222223,0.24637551469462796,4.99237430073816e-16,18
72,1,2,random,2,722246,12,0.40062239069088573,1.3333333333333333,0.24637674222483258,4.625712271497593e-16,18
72,1,2,random,2,722246,13,0.4547657194222078,1.4444444444444444,0.2879020797378782,4.639184100595599e-16,18
72,1,2,random,2,722246,14,0.4576690927561519,1.5555555555555556,0.29019297768267516,4.656669387049588e-16,18
72,1,2,random,2,722246,15,0.48360439534921323,1.6666666666666667,0.3109549418127452,4.823498939662443e-16,18
72,1,2,random,2,722246,16,0.4846676247909184,1.7777777777777777,0.3118176315200553,5.055472056953411e-16,18
72,1,2,random,2,722246,17,0.4915890209979899,1.8888888888888888,0.31745603329272126,5.063980589555407e-16,18
72,1,2,random,2,722246,18,0.4929674034317147,2.0,0.31858357724422015,5.082760363480691e-16,18
72,1,2,random,3,722247,0,0.0,0.0,0.0,0.0,18
72,1,2,random,3,722247,1,0.017129301452910313,0.1111111111111111,0.008638424598181343,2.220446049250313e-16,18
72,1,2,random,3,722247,2,0.03865067296025397,0.2222222222222222,0.01970366356948826,3.408227271259203e-16,18
72,1,2,random,3,722247,3,0.050555850538353715,0.3333333333333333,0.02592780420825835,3.5472905979077167e-16,18
72,1,2,random,3,722247,4,0.13156300006011554,0.4444444444444444,0.07030488197128547,3.752324010800242e-16,18
72,1,2,random,3,722247,5,0.14528443767233493,0.5555555555555556,0.07818421912075955,3.7590191474007285e-16,18
72,1,2,random,3,722247,6,0.1686409575534842,0.6666666666666666,0.0918475329232634,3.7602603961456566e-16,18
72,1,2,random,3,722247,7,0.17076691102290228,0.7777777777777778,0.09310711166774158,3.7611368805998133e-16,18
72,1,2,random,3,722247,8,0.1968483966656602,0.8888888888888888,0.10877972032115564,3.7706869776332534e-16,18
72,1,2,random,3,722247,9,0.19821819869186383,1.0,0.1096141994206621,3.771209996279849e-16,18
72,1,2,random,3,722247,10,0.21753195911448506,1.1111111111111112,0.12150257710848668,3.8839850296569746e-16,18
72,1,2,random,3,722247,11,0.22502892731308377,1.2222222222222223,0.12617947152356393,4.538823520386842e-16,18
72,1,2,random,3,722247,12,0.22522194841573717,1.3333333333333333,0.12630034904119689,3.80537759559941e-16,18
72,1,2,random,3,722247,13,0.22901084737396704,1.4444444444444444,0.128677838971557,5.743710299487802e-16,18
72,1,2,random,3,722247,14,0.2532680485857841,1.5555555555555556,0.14411426919850526,5.796262974187238e-16,18
72,1,2,random,3,722247,15,0.2848644660435578,1.6666666666666667,0.16479090621281262,5.816851620237571e-16,18
72,1,2,random,3,722247,16,0.29577451152663226,1.7777777777777777,0.17208351424307922,5.708085807847632e-16,18
72,1,2,random,3,722247,17,0.3843595586146507,1.8888888888888888,0.2343367104685814,5.710237938573546e-16,18
72,1,2,random,3,722247,18,0.3843822653985522,2.0,0.23435338508288955,5.71743413700238e-16,18
72,1,2,random,4,722248,0,0.0,0.0,0.0,0.0,18
72,1,2,random,4,722248,1,0.0097043878572791,0.1111111111111111,0.004875814059033196,2.220446049250313e-16,18
72,1,2,random,4,722248,2,0.02619672047488587,0.2222222222222222,0.013271435306339625,4.44130572321002e-16,18
72,1,2,random,4,722248,3,0.09042898354369908,0.3333333333333333,0.04732188357999857,4.470085923250355e-16,18
72,1,2,random,4,722248,4,0.09043101052990192,0.4444444444444444,0.04732299299502937,4.470922207785077e-16,18
72,1,2,random,4,722248,5,0.09134298753896869,0.5555555555555556,0.047822366655211966,4.570543147828768e-16,18
72,1,2,random,4,722248,6,0.1000349076088793,0.6666666666666666,0.05260474881157833,4.576744567582122e-16,18
72,1,2,random,4,722248,7,0.10022703967843886,0.7777777777777778,0.05271093210589728,4.588750571386333e-16,18
72,1,2,random,4,722248,8,0.10031496044030296,0.8888888888888888,0.052759529008445646,4.595614810496201e-16,18
72,1,2,random,4,722248,9,0.10139730879242743,1.0,0.05335813126343366,4.600341384927322e-16,18
72,1,2,random,4,722248,10,0.103880350959478,1.1111111111111112,0.05473385011396645,4.600665202846128e-16,18
72,1,2,random,4,722248,11,0.10396383898032747,1.2222222222222223,0.05478016567858123,4.601099913598624e-16,18
72,1,2,random,4,722248,12,0.1353652228547019,1.3333333333333333,0.07247743584294225,4.606362562060889e-16,18
72,1,2,random,4,722248,13,0.14002214612794803,1.4444444444444444,0.07514963662501517,6.788338049457492e-16,18
72,1,2,random,4,722248,14,0.17086021510437058,1.5555555555555556,0.09316245356378018,6.926780638232825e-16,18
72,1,2,random,4,722248,15,0.20528155445253704,1.6666666666666667,0.11393536438506359,6.927633177457161e-16,18
72,1,2,random,4,722248,16,0.22998376187073843,1.7777777777777777,0.1292897863928794,7.001381419910736e-16,18
72,1,2,random,4,722248,17,0.2603274340324942,1.8888888888888888,0.14867740762270634,7.002405615585936e-16,18
72,1,2,random,4,722248,18,0.27531721938272496,2.0,0.15847418508133052,7.002950960686187e-16,18
72,1,2,random,5,722249,0,0.0,0.0,0.0,0.0,18
72,1,2,random,5,722249,1,0.00010634737743038061,0.1111111111111111,5.317651625654945e-05,1.1102230246251565e-16,18
72,1,2,random,5,722249,2,0.04165110987400615,0.2222222222222222,0.021265343315051748,4.440912618009382e-16,18
72,1,2,random,5,722249,3,0.05406676186138157,0.3333333333333333,0.02777753531202805,4.441037692831018e-16,18
72,1,2,random,5,722249,4,0.057747197340918745,0.4444444444444444,0.029723565400705514,8.887952654050748e-16,18
72,1,2,random,5,722249,5,0.07769071217654444,0.5555555555555556,0.04039416615014855,8.894109063215414e-16,18
72,1,2,random,5,722249,6,0.09180575969067659,0.6666666666666666,0.04807594225992159,8.895302402716553e-16,18
72,1,2,random,5,722249,7,0.14399561720998294,0.7777777777777778,0.07743952346073188,8.895927888849532e-16,18
72,1,2,random,5,722249,8,0.15596602516489316,0.8888888888888888,0.08439324654346243,8.895927930428318e-16,18
72,1,2,random,5,722249,9,0.1903973693615598,1.0,0.10486510594109917,8.906261634684097e-16,18
72,1,2,random,5,722249,10,0.27017397024932543,1.1111111111111112,0.15509618269997988,8.909562421350852e-16,18
72,1,2,random,5,722249,11,0.2933162172332548,1.2222222222222223,0.1704333642834739,8.912891686257762e-16,18
72,1,2,random,5,722249,12,0.41435435481255695,1.3333333333333333,0.25669665504097744,8.909105785156255e-16,18
72,1,2,random,5,722249,13,0.43463540723654326,1.4444444444444444,0.27219993963604644,8.91207969808561e-16,18
72,1,2,random,5,722249,14,0.4533512798917925,1.5555555555555556,0.28678842767262064,8.913745113958023e-16,18
72,1,2,random,5,722249,15,0.45335128458935203,1.6666666666666667,0.2867884313686059,8.95411071954667e-16,18
72,1,2,random,5,722249,16,0.46213392735329384,1.7777777777777777,0.29372894651178083,8.970269330252373e-16,18
72,1,2,random,5,722249,17,0.46692540711938524,1.8888888888888888,0.29754120859348865,8.970270873451855e-16,18
