n,r,s,eta,exact_probability,proved_bound,ratio
4,2,16,0.2,4.571477750696295e-06,0.20189651799465538,2.26426775265996e-05
8,2,16,0.2,9.839275883372043e-05,0.20189651799465538,0.0004873425248291062
10,2,16,0.2,0.00011795553804903963,0.20189651799465538,0.000584237604593865
100,2,16,0.2,2.01911221299818e-11,0.20189651799465538,1.0000728259472162e-10
3,2,16,0.4,3.6656562726344115e-10,0.04076220397836621,8.992782320062702e-09
4,2,16,0.4,9.784627301610896e-09,0.04076220397836621,2.400416647442299e-07
5,2,16,0.4,2.2597978517083695e-08,0.04076220397836621,5.543855903639841e-07
8,2,16,0.4,1.097300560367434e-08,0.04076220397836621,2.6919559132519087e-07
50,2,16,0.4,3.1215381634147983e-24,0.04076220397836621,7.65792292554028e-23
3,2,16,0.8,2.753909157668152e-20,0.001661557273173934,1.6574265612930628e-17
4,2,16,0.8,2.5063256032090663e-21,0.001661557273173934,1.5084196275831299e-18
8,2,16,0.8,4.591168328582303e-31,0.001661557273173934,2.763171876592721e-28
25,2,16,0.8,2.3897562966702876e-78,0.001661557273173934,1.4382629688745762e-75
3,2,32,0.03,3.106479809698581e-11,0.6187833918061408,5.0203025013829284e-11
4,2,32,0.03,1.4994515577292097e-07,0.6187833918061408,2.4232252797744354e-07
8,2,32,0.03,0.00035200895211422325,0.6187833918061408,0.0005688726568545402
67,2,32,0.03,0.025036544327838684,0.6187833918061408,0.04046091840758778
667,2,32,0.03,0.00029691284098950875,0.6187833918061408,0.000479833242005514
3,2,32,0.05,1.559207368846378e-11,0.44932896411722156,3.470079815374666e-11
4,2,32,0.05,7.36310487443695e-08,0.44932896411722156,1.6386891258841827e-07
8,2,32,0.05,0.0001591923839841471,0.44932896411722156,0.0003542891660610082
40,2,32,0.05,0.005568883535972094,0.44932896411722156,0.01239377823531375
400,2,32,0.05,4.128621586151616e-06,0.44932896411722156,9.188416318237912e-06
3,2,32,0.1,2.531183746286848e-12,0.20189651799465538,1.2537035167460657e-11
4,2,32,0.1,1.0973005603674341e-08,0.20189651799465538,5.434965254806831e-08
8,2,32,0.1,1.712200157054216e-05,0.20189651799465538,8.480582894943942e-05
20,2,32,0.1,0.00014578353491577899,0.20189651799465538,0.0007220705753807908
200,2,32,0.1,7.79558356242345e-11,0.20189651799465538,3.861177815176493e-10
3,2,32,0.2,4.2037484224687845e-14,0.04076220397836621,1.0312858511526626e-12
4,2,32,0.2,1.320626588408575e-10,0.04076220397836621,3.239831165923887e-09
8,2,32,0.2,5.9223094789849386e-08,0.04076220397836621,1.4528923612982496e-06
10,2,32,0.2,8.593308249221758e-08,0.04076220397836621,2.1081559411710165e-06
100,2,32,0.2,4.547909651577403e-21,0.04076220397836621,1.115717308610477e-19
3,2,32,0.4,9.551652571134904e-19,0.001661557273173934,5.748614703415658e-16
4,2,32,0.4,6.923629547504898e-16,0.001661557273173934,4.1669520872303536e-13
5,2,32,0.4,3.786577801602591e-15,0.001661557273173934,2.2789330604110975e-12
8,2,32,0.4,9.712894855093442e-16,0.001661557273173934,5.845657571911265e-13
50,2,32,0.4,1.4822165270633413e-46,0.001661557273173934,8.920646618650629e-44
3,2,32,0.8,6.206350088404427e-39,2.7607725720371986e-06,2.248048300416396e-33
4,2,32,0.8,5.722088178159203e-41,2.7607725720371986e-06,2.0726401863435e-35
8,2,32,0.8,2.557578350259808e-60,2.7607725720371986e-06,9.263995072120512e-55
25,2,32,0.8,1.1712481814948018e-154,2.7607725720371986e-06,4.242465291628595e-149
5,4,1,0.03,0.03505099520421377,0.9704455335485082,0.03611845692776506
8,4,1,0.03,0.13221534168791815,0.9704455335485082,0.13624189830052869
16,4,1,0.03,0.23163222748863888,0.9704455335485082,0.23868647902542037
134,4,1,0.03,0.3258320520818277,0.9704455335485082,0.3357551153750978
1334,4,1,0.03,0.19864510696351956,0.9704455335485082,0.20469475111824006
5,4,1,0.05,0.033503031778014745,0.951229424500714,0.035220768949194334
8,4,1,0.05,0.12529778668282637,0.951229424500714,0.13172194157954406
16,4,1,0.05,0.21585142883216626,0.951229424500714,0.22691836824272274
80,4,1,0.05,0.2793640053870715,0.951229424500714,0.29368730423126416
800,4,1,0.05,0.13590533835386948,0.951229424500714,0.14287335405462687
5,4,1,0.1,0.029778361590214426,0.9048374180359595,0.03291017921744588
8,4,1,0.1,0.10870839470920543,0.9048374180359595,0.12014135638330245
16,4,1,0.1,0.17834131319482951,0.9048374180359595,0.19709763283434636
40,4,1,0.1,0.20198971105050592,0.9048374180359595,0.22323315440352243
