b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
2,3,6,repeated,11,0.6321205588285577,101.19824306633001,0.23470598383259977,0.40320484282794467,7.352103780738953e-11,1.0547118733938987e-15,3.951864052553766e-06,6.007424974323303e-17,4.1492080472489965e-15,25.042567669625512
2,3,6,repeated,29,0.6321205588285577,83.47520214242523,0.33342253620402906,0.38972903824076155,2.6124405566041822e-11,4.440892098500626e-16,2.876361686998674e-06,3.313058156848708e-17,3.0404789638408764e-15,25.19503845821719
2,3,6,wide_bands,11,0.5034146962085905,152.28596777336875,0.17728035645582288,0.2755409858525625,3.713552362761509e-11,7.216449660063518e-16,7.141049267467281e-07,3.7828493305090594e-17,6.324337147550545e-15,25.217326200609676
2,3,6,wide_bands,29,0.5034146962085905,162.8226459711784,0.191324673729469,0.4012557500038151,1.3195454105214453e-11,5.551115123125783e-16,3.69545700447671e-05,4.1356101443249667e-17,2.623794889810712e-15,25.250436565718314
2,4,8,geometric,11,0.4352818779922407,3202.8830532632082,0.021203617486284937,0.17600148018550496,4.949489739257059e-15,6.38378239159465e-16,1.3993265073342087e-06,4.886085585921768e-17,2.779826503999551e-14,28.386785212482515
2,4,8,geometric,29,0.4352818779922407,13583.699414888337,0.014484771007142187,0.6416294478097103,3.713894516466638e-15,2.474687121889474e-13,7.225490926132672e-06,8.363855104626982e-17,4.759142453425322e-13,28.22128688527865
2,4,8,repeated,11,0.486582880967408,1618.2578530227872,0.03624600890363227,0.3046996665770003,7.728681022810563e-15,7.271960811294775e-15,5.116431703311441e-07,2.297042017021842e-16,2.3416285592833e-14,28.426090489073307
2,4,8,repeated,29,0.486582880967408,2156.7698877383455,0.10941098704740353,0.4766951291231178,5.799285902640229e-15,1.609823385706477e-15,6.316106187242987e-05,1.228414668440038e-16,4.11640403137686e-14,28.905891232301784
2,4,8,wide_bands,11,0.5034146962085904,2392.1219607630846,0.03434746469294403,0.2900163852473795,8.854858810717351e-15,2.3314683517128287e-15,9.056183244426919e-07,2.6259737018728326e-17,2.8656257788726414e-14,28.343648724747013
2,4,8,wide_bands,29,0.5034146962085904,3289.554460218783,0.11879405350458103,1.7995069644487685,6.6443236199426506e-15,5.2071386846266865e-14,1.8403005283609833e-05,5.604733794829071e-17,1.1513116266748734e-13,28.88254874060193
