case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
full_starting_block,32,6,6,6,1,101,1.0,6,2.165847572784067e-15,0.9446209777524889,2.6388467991918927,0.38632265716193226,1.353953033023391,1.3009452165568072,0.7936740968976663,False
full_starting_block,32,6,6,6,2,101,1.0,12,2.948236249315182e-15,0.8128168714796953,2.215481387449285,0.15675215490297034,1.165034330542759,1.092227072164789,0.3220368328726574,False
full_starting_block,32,6,6,6,4,101,1.0,24,3.7699659953561675e-15,0.6977600889760611,2.0290264130960898,0.0005528754154294768,1.0001200598356286,1.000305211804311,0.0011358456148068533,True
full_starting_block,32,6,6,6,8,101,1.0,32,5.09457006573457e-15,0.697676326071031,2.0284073192383074,1.2212453270876722e-15,1.0,1.0,2.508966958312571e-15,True
full_starting_block,32,6,6,6,1,202,1.0,6,2.3402448043600077e-15,0.9305532418683089,2.6835919274795295,0.3474025497659605,1.33378933338433,1.3230044587332943,0.7137153357015552,False
full_starting_block,32,6,6,6,2,202,1.0,12,2.7325802149871766e-15,0.8176111930466896,2.1950778106213447,0.1273829176882475,1.171906172667593,1.0821681571557453,0.26169969656745234,False
full_starting_block,32,6,6,6,4,202,1.0,24,3.821491039717689e-15,0.6985236185478849,2.031532406980642,0.003870152971821028,1.0012144492298103,1.0015406608488813,0.007950970795581259,True
full_starting_block,32,6,6,6,8,202,1.0,32,4.756582022689213e-15,0.6976763260710307,2.0284073192383074,5.551115123125783e-16,0.9999999999999996,1.0,1.1404395265057141e-15,True
full_starting_block,32,6,6,6,1,303,1.0,6,2.158521239861015e-15,0.9690422259597447,2.632187404061061,0.39350991953349357,1.3889567264191298,1.297662150543551,0.808439847407413,False
full_starting_block,32,6,6,6,2,303,1.0,12,3.251725645436239e-15,0.8375533051296467,2.190333892978754,0.10852238645994572,1.2004897885045545,1.0798294170035099,0.22295199484164305,False
full_starting_block,32,6,6,6,4,303,1.0,24,4.524213851314712e-15,0.6976934689787992,2.029482679197108,0.0010098446034004782,1.0000245714339553,1.0005301499105241,0.0020746582908154477,True
full_starting_block,32,6,6,6,8,303,1.0,32,5.102459726434001e-15,0.6976763260710307,2.0284073192383074,8.881784197001252e-16,0.9999999999999996,1.0,1.8247032424091426e-15,True
zero_optimal_error,40,3,12,12,4,101,0.21337213893344653,12,1.6752787804238878e-15,0.8172287549123821,1.3131918367393942,0.1457814626873451,,,,False
zero_optimal_error,40,3,12,12,5,101,0.21337213893344653,15,2.7032955369639284e-15,5.89954599540005e-14,6.02183172491495e-14,1.6653345369377348e-15,,,,True
zero_optimal_error,40,3,12,12,6,101,0.21337213893344653,15,2.7032955369639284e-15,5.89954599540005e-14,6.02183172491495e-14,1.6653345369377348e-15,,,,True
zero_optimal_error,40,3,12,12,4,202,0.21337213893344653,12,2.1998730411342438e-15,0.8629783302256354,1.360984805251876,0.24831073018384087,,,,False
zero_optimal_error,40,3,12,12,5,202,0.21337213893344653,15,2.5473796413229486e-15,1.5745151041990722e-13,1.6247493216457222e-13,1.4432899320127035e-15,,,,True
zero_optimal_error,40,3,12,12,6,202,0.21337213893344653,16,2.5798000538275498e-15,3.9287090433498375e-14,4.022353373866527e-14,7.771561172376096e-16,,,,True
zero_optimal_error,40,3,12,12,4,303,0.21337213893344653,12,2.1989749726259225e-15,0.8361890583933262,1.3514702021915923,0.16032091110948554,,,,False
zero_optimal_error,40,3,12,12,5,303,0.21337213893344653,15,2.4537403849709287e-13,1.0268436624943755e-11,1.0269734956284677e-11,1.1102230246251565e-15,,,,True
zero_optimal_error,40,3,12,12,6,303,0.21337213893344653,16,2.453938140739038e-13,1.6230687776333452e-13,2.0831388145133802e-13,1.6653345369377348e-15,,,,True
