family,trial,n,k,epsilon,steps,queries,query_bound,residual_ratio,meets_target,orthogonality_error
flat_spike,19,96,4,0.1,8,72,72,1.000000000049765,True,2.69093687223219e-15
flat_spike,20,96,4,0.1,2,24,24,1.1864107736429537,False,1.6788111989595287e-15
flat_spike,20,96,4,0.1,4,40,40,1.0004803818975132,True,1.8222711742603444e-15
flat_spike,20,96,4,0.1,8,72,72,1.0000000034855738,True,2.1323727384212916e-15
flat_spike,21,96,4,0.1,2,24,24,1.0808572737339348,True,2.496735391052427e-15
flat_spike,21,96,4,0.1,4,40,40,1.000235212232227,True,3.173506210013421e-15
flat_spike,21,96,4,0.1,8,72,72,1.0000000008925223,True,2.0453287861345984e-15
flat_spike,22,96,4,0.1,2,24,24,1.025869745546537,True,2.1503110112424964e-15
flat_spike,22,96,4,0.1,4,40,40,1.000097885484445,True,1.6489598494655603e-15
flat_spike,22,96,4,0.1,8,72,72,1.0000000000629676,True,1.814290542385847e-15
flat_spike,23,96,4,0.1,2,24,24,1.1573737426383288,False,1.4795050828559344e-15
flat_spike,23,96,4,0.1,4,40,40,1.0001141729612109,True,1.9129103621078952e-15
flat_spike,23,96,4,0.1,8,72,72,1.0000000000074543,True,6.241995257790177e-15
flat_spike,24,96,4,0.1,2,24,24,1.199355400412301,False,1.5293228193220277e-15
flat_spike,24,96,4,0.1,4,40,40,1.0574541412588285,True,1.7018769638712064e-15
flat_spike,24,96,4,0.1,8,72,72,1.0000000863332186,True,2.5277386468266668e-15
flat_spike,25,96,4,0.1,2,24,24,1.0979154652105667,True,2.7822784608688098e-15
flat_spike,25,96,4,0.1,4,40,40,1.0000919353221367,True,1.1215621702034739e-15
flat_spike,25,96,4,0.1,8,72,72,1.0000000000341784,True,2.4703886119962095e-15
flat_spike,26,96,4,0.1,2,24,24,1.195619136040158,False,1.0981235105402101e-15
flat_spike,26,96,4,0.1,4,40,40,1.0112544462693867,True,1.4148831817911758e-15
flat_spike,26,96,4,0.1,8,72,72,1.0000000440454322,True,1.8095873750851007e-15
flat_spike,27,96,4,0.1,2,24,24,1.1958894264593034,False,2.1464497164084173e-15
flat_spike,27,96,4,0.1,4,40,40,1.028933452556473,True,2.462438087083309e-15
flat_spike,27,96,4,0.1,8,72,72,1.0000000044267388,True,1.5727822211600337e-15
flat_spike,28,96,4,0.1,2,24,24,1.1437477109355683,False,2.474849338501165e-15
flat_spike,28,96,4,0.1,4,40,40,1.0002351451953417,True,1.854909645559275e-15
flat_spike,28,96,4,0.1,8,72,72,1.000000000230936,True,2.3234125555581948e-15
flat_spike,29,96,4,0.1,2,24,24,1.1125779072106923,False,1.2507221978551467e-15
flat_spike,29,96,4,0.1,4,40,40,1.0000462668379373,True,2.402948014894887e-15
flat_spike,29,96,4,0.1,8,72,72,1.0000000001857714,True,2.199437148453722e-15
slow_decay,0,96,4,0.1,2,24,24,1.0757480124948777,True,1.2603378390048278e-15
slow_decay,0,96,4,0.1,4,40,40,1.0004353277085212,True,2.0266546740271734e-15
slow_decay,0,96,4,0.1,8,72,72,1.0000000000000004,True,1.8589023120590605e-15
slow_decay,1,96,4,0.1,2,24,24,1.0277431712356946,True,1.1367732869618706e-15
slow_decay,1,96,4,0.1,4,40,40,1.0001428697592067,True,1.8065671687936398e-15
slow_decay,1,96,4,0.1,8,72,72,1.0000000000000009,True,7.922980647077602e-16
slow_decay,2,96,4,0.1,2,24,24,1.089883023609088,True,1.2428042802926643e-15
slow_decay,2,96,4,0.1,4,40,40,1.0000257786704059,True,1.6509055181680138e-15
slow_decay,2,96,4,0.1,8,72,72,1.0000000000000009,True,1.857166799200427e-15
slow_decay,3,96,4,0.1,2,24,24,1.069265556952085,True,7.991760399084144e-16
slow_decay,3,96,4,0.1,4,40,40,1.0000623157920534,True,1.1298097553242784e-15
slow_decay,3,96,4,0.1,8,72,72,1.0,True,1.9250074500347783e-15
slow_decay,4,96,4,0.1,2,24,24,1.052415832714386,True,2.5614620876035633e-15
slow_decay,4,96,4,0.1,4,40,40,1.010145127581141,True,1.1076661665434328e-15
slow_decay,4,96,4,0.1,8,72,72,1.0000000000000329,True,1.7570923045844441e-15
slow_decay,5,96,4,0.1,2,24,24,1.0707655363021862,True,1.2639011314936195e-15
slow_decay,5,96,4,0.1,4,40,40,1.0007843762620345,True,1.7333611629137284e-15
slow_decay,5,96,4,0.1,8,72,72,1.0000000000000009,True,2.708920538160324e-15
slow_decay,6,96,4,0.1,2,24,24,1.0263685817825707,True,2.1524563042367386e-15
slow_decay,6,96,4,0.1,4,40,40,1.000140510175669,True,1.0364638332100278e-15
slow_decay,6,96,4,0.1,8,72,72,1.0000000000000002,True,1.956851438063206e-15
slow_decay,7,96,4,0.1,2,24,24,1.0144579814851076,True,1.9587219317734556e-15
slow_decay,7,96,4,0.1,4,40,40,1.0000018912484132,True,9.587913149708566e-16
slow_decay,7,96,4,0.1,8,72,72,1.0000000000000004,True,1.6777362076755413e-15
slow_decay,8,96,4,0.1,2,24,24,1.0327884214248366,True,8.980065550026598e-16
