case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
nonzero_width_clusters,45,3,14,15,7,303,0.29531191028128634,21,3.096944984193004e-15,0.6465920376066516,1.7153192980352006,0.09648459748486043,1.3575085572020238,1.071511987090727,0.42528732230611715,False
nonzero_width_clusters,45,3,14,15,10,303,0.29531191028128634,30,3.4486584868528333e-15,0.47635130658860647,1.601134138336186,0.00041451601914535563,1.0000911507075847,1.0001837116463193,0.0018271145077117744,True
nonzero_width_clusters,45,3,14,15,15,303,0.29531191028128634,45,4.284246644921993e-15,0.47630789078733277,1.6008400453759564,2.55351295663786e-15,0.9999999999999994,1.0000000000000002,1.1255440931625321e-14,True
scalar_block,20,1,5,5,5,101,0.18126924692201807,5,7.913109193381655e-16,0.8079435888842176,1.7250337297242135,0.37391701010577205,1.332073780519209,1.2422140277450542,1.0164118139222573,False
scalar_block,20,1,5,5,8,101,0.18126924692201807,8,9.922970568797351e-16,0.6807282107685606,1.454176396183292,0.1463469048662862,1.122331080659766,1.0471669550736433,0.39781213214925043,False
scalar_block,20,1,5,5,12,101,0.18126924692201807,12,1.1732655202086897e-15,0.6076860165820989,1.3898268414996082,0.001776413279666933,1.0019048614459372,1.00082819767439,0.00482879193795196,True
scalar_block,20,1,5,5,20,101,0.18126924692201807,20,1.529348376304045e-15,0.6065306597126333,1.3886767426508655,1.7763568394002505e-15,0.9999999999999998,1.0000000000000002,4.828638517400643e-15,True
scalar_block,20,1,5,5,5,202,0.18126924692201807,5,8.425249150648378e-16,0.8383714944279225,1.73202922497983,0.35613624515578746,1.3822409156119697,1.2472515537874813,0.9680786836626127,False
scalar_block,20,1,5,5,8,202,0.18126924692201807,8,1.050468844724267e-15,0.7229738001203635,1.4604598497734276,0.08926500025346962,1.1919822824173463,1.0516917327970328,0.24264742810639853,False
scalar_block,20,1,5,5,12,202,0.18126924692201807,12,1.2433233072571492e-15,0.6065331382250443,1.388744779366977,7.189049925571123e-05,1.0000040863761315,1.0000489939191908,0.00019541863776564834,True
scalar_block,20,1,5,5,20,202,0.18126924692201807,20,1.4532192366020449e-15,0.6065306597126335,1.3886767426508655,3.885780586188048e-16,1.0000000000000002,1.0000000000000002,1.0562646756813907e-15,True
